source,target,relation
https://ontology.tesseract.academy/modip/object/7b0f9bae-e6a5-31af-a64d-3cdf11d713b3,https://ontology.tesseract.academy/modip/object/4ff8bb92-a7a5-38ad-877e-10e516f2ac29,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/7d303dc5-c66e-3542-9bc8-b616b3e3d62a,https://ontology.tesseract.academy/modip/object/b027ffda-8ce3-35d1-bd9a-3291573bcff1,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/7d303dc5-c66e-3542-9bc8-b616b3e3d62a,https://ontology.tesseract.academy/modip/object/d5b2a58a-839a-3e35-9fe3-f65e0f7bb1d0,P130_shows_features_of
https://ontology.tesseract.academy/modip/object/385a697a-b568-3215-b77a-101da3cd37f8,https://ontology.tesseract.academy/modip/object/03020bc6-403b-3144-bb7c-113af035c166,P67_refers_to
https://ontology.tesseract.academy/modip/object/385a697a-b568-3215-b77a-101da3cd37f8,https://ontology.tesseract.academy/modip/object/9003ff5c-5a12-3dea-88e4-09a7fe4122cb,P67_refers_to
https://ontology.tesseract.academy/modip/object/3ae7aace-55d6-313a-b511-11dc96a7da4b,https://ontology.tesseract.academy/modip/object/7d303dc5-c66e-3542-9bc8-b616b3e3d62a,P67_refers_to
https://ontology.tesseract.academy/modip/object/3ae7aace-55d6-313a-b511-11dc96a7da4b,https://ontology.tesseract.academy/modip/object/d5b2a58a-839a-3e35-9fe3-f65e0f7bb1d0,P67_refers_to
https://ontology.tesseract.academy/modip/object/3ae7aace-55d6-313a-b511-11dc96a7da4b,https://ontology.tesseract.academy/modip/object/5f273ae5-e62c-3459-bc84-9e38a3127373,P67_refers_to
https://ontology.tesseract.academy/modip/object/3ae7aace-55d6-313a-b511-11dc96a7da4b,https://ontology.tesseract.academy/modip/object/ade5a3da-e259-335f-bd07-2063fb6dc7ac,P67_refers_to
https://ontology.tesseract.academy/modip/object/17b8d0fb-397b-3533-a46d-6b80d886e986,https://ontology.tesseract.academy/modip/object/84e8967a-6b33-36e8-88b8-327951e96abd,P67_refers_to
https://ontology.tesseract.academy/modip/object/17b8d0fb-397b-3533-a46d-6b80d886e986,https://ontology.tesseract.academy/modip/object/f41108f7-1fc6-37e8-870a-411addce8ffc,P67_refers_to
https://ontology.tesseract.academy/modip/object/84e8967a-6b33-36e8-88b8-327951e96abd,https://ontology.tesseract.academy/modip/object/17b8d0fb-397b-3533-a46d-6b80d886e986,P67_refers_to
https://ontology.tesseract.academy/modip/object/84e8967a-6b33-36e8-88b8-327951e96abd,https://ontology.tesseract.academy/modip/object/f41108f7-1fc6-37e8-870a-411addce8ffc,P67_refers_to
https://ontology.tesseract.academy/modip/object/f41108f7-1fc6-37e8-870a-411addce8ffc,https://ontology.tesseract.academy/modip/object/17b8d0fb-397b-3533-a46d-6b80d886e986,P67_refers_to
https://ontology.tesseract.academy/modip/object/f41108f7-1fc6-37e8-870a-411addce8ffc,https://ontology.tesseract.academy/modip/object/84e8967a-6b33-36e8-88b8-327951e96abd,P67_refers_to
https://ontology.tesseract.academy/modip/object/65f3b098-ad47-3356-a08d-3e284354e55e,https://ontology.tesseract.academy/modip/object/3fe8bdb0-f6f6-3d02-8b94-da64f5f662d8,P67_refers_to
https://ontology.tesseract.academy/modip/object/3fe8bdb0-f6f6-3d02-8b94-da64f5f662d8,https://ontology.tesseract.academy/modip/object/65f3b098-ad47-3356-a08d-3e284354e55e,P67_refers_to
https://ontology.tesseract.academy/modip/object/7dcd3cc5-7175-3cb6-b146-b37f8147edba,https://ontology.tesseract.academy/modip/object/a0901a59-de0f-3c01-ac01-a7f5a25887e3,P67_refers_to
https://ontology.tesseract.academy/modip/object/a0901a59-de0f-3c01-ac01-a7f5a25887e3,https://ontology.tesseract.academy/modip/object/7dcd3cc5-7175-3cb6-b146-b37f8147edba,P67_refers_to
